# aircraft: Depron P-51.par
# dt: 0.002  sampleEvery: 50  duration: 40
t,throttle,elevator,ailerons,rudder,x,y,z,qw,qx,qy,qz,vx,vy,vz,crashed,touchedDown
3.000,0.5025381,0.6,-0.114644311,0,-0.0024864045,3.788381,-0.07971011,0.702649653,-0.00580057874,0.703487754,0.106558926,-0.00370176369,2.4248724,-0.009192285,0,1
3.100,0.818839431,0.6,-0.130021587,0,-0.00278515415,4.04115438,-0.08045386,0.699252665,0.00406186655,0.706340253,0.110057458,-0.00211058464,2.66145229,-0.0289798863,0,1
3.200,0.934026837,0.6,-0.120523356,0,-0.00400076061,4.328814,-0.07995814,0.6947594,-0.0009654872,0.7111411,0.1076415,-0.0231475942,3.086638,-0.0100368392,0,1
3.300,0.97597456,0.6,-0.121729337,0,-0.007234177,4.66097355,-0.07974144,0.69505924,7.092953E-05,0.710828245,0.107776746,-0.0398057736,3.54973269,-0.0102230813,0,1
3.400,0.9912507,0.6,-0.129433,0,-0.0116740558,5.039666,-0.07951942,0.694862545,0.0036852695,0.7105385,0.11084868,-0.04749694,4.0124917,-0.0104689393,0,1
3.500,0.9968138,0.6,-0.123997055,0,-0.0167094059,5.4638257,-0.0792921558,0.693916142,0.00170886517,0.71189,0.108121008,-0.0534786321,4.457249,-0.0107134,0,1
3.600,0.9988397,0.6,-0.1245059,0,-0.0223021526,5.931288,-0.07905965,0.694273651,0.00237231329,0.71155566,0.108013891,-0.0572930127,4.877689,-0.0109609328,0,1
3.700,0.999577463,0.6,-0.125179231,0,-0.0279909149,6.439483,-0.07882182,0.6935411,0.00304749236,0.7122882,0.107874051,-0.0563236922,5.27153826,-0.0112049095,0,1
3.800,0.9998461,0.6,-0.124940142,0,-0.03370671,6.98570251,-0.07877899,0.6932659,0.00310753658,0.7125671,0.107800081,-0.0575419664,5.637512,-0.011466356,0,1
3.900,0.999944,0.6,-0.124624923,0,-0.0392823443,7.567115,-0.07873061,0.6932781,0.00301148742,0.7126016,0.107496724,-0.0533760749,5.97534275,-0.0117217731,0,1
4.000,0.9999796,0.6,-0.125769049,0,-0.0443557575,8.180922,-0.07888004,0.694037557,0.003145285,0.711728,0.108375683,-0.04680122,6.28539228,-0.011989668,0,1
4.100,0.999992549,0.6,-0.12407887,0,-0.04836932,8.824397,-0.0788243338,0.6946614,0.00251438469,0.7112765,0.107354783,-0.0331811532,6.568734,-0.0122163408,0,1
4.200,0.9999973,0.6,-0.126730844,0,-0.0508666635,9.494962,-0.0787626356,0.6960455,0.00349260122,0.7097439,0.108497962,-0.0151654556,6.82693243,-0.0124453977,0,1
4.300,0.999999,0.6,-0.124295808,0,-0.05125991,10.1901474,-0.0788945258,0.696715653,0.0020823814,0.7092136,0.107698753,0.007250851,7.061126,-0.0126813781,0,1
4.400,0.999999642,0.6,-0.125203565,0,-0.0492418073,10.9076242,-0.0788283944,0.6979024,0.00232834369,0.7080024,0.107979193,0.0340556651,7.27342558,-0.0128692891,0,1
4.500,0.9999999,0.6,-0.125634879,0,-0.0444279127,11.6452875,-0.07875167,0.6992359,0.00253670663,0.7066666,0.108097926,0.062804386,7.464534,-0.01304871,0,1
4.600,0.99999994,0.6,-0.1241021,0,-0.0365088619,12.4011612,-0.07888235,0.700243831,0.00149611011,0.7057522,0.107564345,0.0951876,7.63735962,-0.01323971,0,1
4.700,1,0.6,-0.12648499,0,-0.0252818577,13.1733646,-0.07879866,0.701943934,0.0023946017,0.703933835,0.108379722,0.130505443,7.79178524,-0.0133763868,0,1
4.800,1,0.6,-0.123810574,0,-0.0103984009,13.9602127,-0.07891073,0.7031077,0.000969599932,0.7029182,0.107445955,0.166686624,7.930196,-0.0135333855,0,1
4.900,1,0.6,-0.125055164,0,0.008257737,14.7601347,-0.078829065,0.70475,0.00124382228,0.701206148,0.107869878,0.207131609,8.053968,-0.0136582721,0,1
5.000,1,0.6,-0.123947762,0,0.0309728459,15.5717678,-0.07893636,0.706333041,0.000741682947,0.6996935,0.107341036,0.246975183,8.1640625,-0.013767885,0,1
5.100,1,0.6,-0.124808215,0,0.0579022281,16.3937778,-0.0788403,0.7079795,0.0007388927,0.697969,0.107720487,0.291742384,8.261529,-0.0138856973,0,1
5.200,1,0.6,-0.126070589,0,0.0892959759,17.225008,-0.0787426159,0.7097915,0.00112310424,0.6960351,0.108304843,0.336186,8.348399,-0.01397418,0,1
5.300,1,0.6,-0.123785354,0,0.125257373,18.06449,-0.07885445,0.7111158,-0.000237114727,0.6948265,0.107380018,0.3817104,8.426209,-0.0140769836,0,1
5.400,1,0.6,-0.126102328,0,0.165768176,18.9112282,-0.07875233,0.713144541,0.00046371296,0.6926057,0.108267628,0.429087579,8.494107,-0.0141420048,0,1
5.500,1,0.6,-0.124716736,0,0.21107994,19.76437,-0.07884887,0.7147656,-0.000399719924,0.6910014,0.107828841,0.476274729,8.554055,-0.0142245647,0,1
5.600,1,0.6,-0.124642469,0,0.2612198,20.6231384,-0.07875063,0.7164631,-0.00058138743,0.6892729,0.107624933,0.5256546,8.607204,-0.0142708775,0,1
5.700,1,0.6,-0.125745043,0,0.316265,21.4868965,-0.07885416,0.7183625,-0.000380400568,0.687228858,0.108035117,0.5750913,8.654003,-0.0143191088,0,1
5.800,1,0.6,-0.126293987,0,0.3762936,22.35503,-0.07874717,0.7202611,-0.000460613519,0.6851772,0.108425304,0.624828935,8.69437,-0.0143835451,0,1
5.900,1,0.6,-0.123958863,0,0.441340655,23.22696,-0.0788454339,0.7218482,-0.00179265812,0.6836613,0.10742034,0.674371243,8.729734,-0.0144338217,0,1
6.000,1,0.6,-0.125296712,0,0.5113672,24.1021461,-0.07873602,0.7238505,-0.001492925,0.6814732,0.107854277,0.7259513,8.759933,-0.0144632962,0,1
6.100,1,0.6,-0.124960676,0,0.5865133,24.9801617,-0.07882834,0.7257268,-0.00198487565,0.6794661,0.1079003,0.7758874,8.785986,-0.0145137329,0,1
6.200,1,0.6,-0.123837844,0,0.6667848,25.8605785,-0.07892425,0.7273757,-0.00265677646,0.677801132,0.107253268,0.8276721,8.808809,-0.0145297032,0,1
6.300,1,0.6,-0.126630962,0,0.752119243,26.7430782,-0.07881275,0.729620337,-0.00190827623,0.675166965,0.108627826,0.878684163,8.827242,-0.0145728905,0,1
6.400,1,0.6,-0.123630442,0,0.8426652,27.62729,-0.0789014548,0.7310509,-0.00350286439,0.673818946,0.107332826,0.92972064,8.843253,-0.0146005545,0,1
6.500,1,0.6,-0.126000971,0,0.938263834,28.5129471,-0.07878919,0.7331355,-0.002785433,0.6714128,0.108209677,0.9819074,8.856084,-0.0146124829,0,1
6.600,1,0.6,-0.124778911,0,1.03906238,29.3997917,-0.07887807,0.734833956,-0.003616646,0.669606149,0.107858822,1.03223109,8.867091,-0.01464132,0,1
6.700,1,0.6,-0.124113061,0,1.14498353,30.2876053,-0.0787668452,0.7365877,-0.00395619869,0.667769432,0.107269987,1.08421159,8.875571,-0.0146432724,0,1
6.800,1,0.6,-0.12672767,0,1.25599372,31.176199,-0.07885536,0.738788366,-0.00338843837,0.665112555,0.1086533,1.13520086,8.882585,-0.01466612,0,1
6.900,1,0.6,-0.124144994,0,1.37220824,32.0653839,-0.07894319,0.740287066,-0.00446834043,0.663663864,0.107262924,1.18626511,8.8877,-0.014659835,0,1
7.000,1,0.6,-0.124950349,0,1.49349582,32.95501,-0.07883297,0.742163,-0.00472801924,0.6614827,0.107760631,1.23817158,8.89121151,-0.0146939661,0,1
7.100,1,0.6,-0.125828832,0,1.61990583,33.8449173,-0.0789216,0.7442047,-0.004442431,0.6591331,0.108088285,1.288479,8.893308,-0.014688151,0,1
7.200,1,0.6,-0.123932622,0,1.75147355,34.7348862,-0.07880928,0.745706856,-0.005613547,0.6575619,0.1072481,1.339782,8.89371,-0.0147065986,0,1
7.300,1,0.6,-0.125869319,0,1.888065,35.624855,-0.0788982138,0.747777045,-0.005051624,0.655099869,0.107927248,1.39098454,8.893156,-0.0146972295,0,1
7.400,1,0.6,-0.125069156,0,2.02978158,36.51478,-0.07878372,0.7495892,-0.00570040569,0.6530528,0.107729331,1.44106042,8.891388,-0.0147198047,0,1
7.500,1,0.6,-0.124811806,0,2.17660427,37.4045029,-0.07888024,0.7513077,-0.006201744,0.651085854,0.1076358,1.492704,8.889529,-0.0147302616,0,1
7.600,1,0.6,-0.125082836,0,2.32854939,38.29394,-0.07877217,0.7530972,-0.00629518554,0.6490137,0.107639223,1.54400933,8.885999,-0.0147268716,0,1
7.700,1,0.6,-0.125331849,0,2.48559737,39.18298,-0.0788595155,0.7548738,-0.00656643137,0.646921158,0.107775174,1.59488559,8.881611,-0.0147343632,0,1
7.800,1,0.6,-0.125894263,0,2.64770865,40.07155,-0.0787452161,0.7567311,-0.006623823,0.644719064,0.107943162,1.64540756,8.876146,-0.01473902,0,1
7.900,1,0.6,-0.12584208,0,2.81484556,40.95954,-0.07883051,0.7585947,-0.006959945,0.6425006,0.108067766,1.6948719,8.869926,-0.014750855,0,1
8.000,1,0.6,-0.125678688,0,2.98352385,41.849144,-40.0039558,0.7071587,4.46318882E-05,0.7070549,-8.925097E-06,-0.0035875414,10.0158176,-1.95750666,0,1
8.100,1,0.3818507,-0.00203741062,0,2.98332524,42.88988,-40.1149025,0.7078225,0.0298757143,0.7052048,-0.0279452465,0.0004315603,10.8360271,-0.5148714,0,1
8.200,1,0.387503237,-0.00320826471,0,2.98352671,44.01083,-40.1496849,0.70578295,0.0574079454,0.703996539,-0.0544404127,0.00257871486,11.5298576,-0.319982231,0,1
8.300,1,0.379446656,-0.00400371058,0,2.98365617,45.1888466,-40.1928,0.7044097,0.06562736,0.7040208,-0.0620869361,-0.00066571054,12.0177126,-0.5628773,0,1
8.400,1,0.370210439,-0.004230489,0,2.983308,46.4140244,-40.2624435,0.7038532,0.0673362,0.704273,-0.06368666,-0.006529639,12.4880772,-0.82402426,0,1
8.500,1,0.3609405,-0.0038011,0,2.982338,47.68654,-40.35706,0.703396559,0.07022179,0.7041406,-0.06699412,-0.0128128789,12.959115,-1.07051957,0,0
8.600,1,0.350100577,-0.00299023371,0,2.98076987,49.0048027,-40.4777832,0.7027692,0.07518118,0.703689337,-0.0726938844,-0.01836575,13.3991518,-1.3527602,0,0
8.700,1,0.337067664,-0.0021143253,0,2.9787035,50.3648148,-40.6293831,0.7019703,0.08130144,0.7030579,-0.0796081,-0.022768572,13.793417,-1.68756461,0,0
8.800,1,0.322038144,-0.00135972607,0,2.97625518,51.76195,-40.8167038,0.7010563,0.08797096,0.702295244,-0.0869628,-0.0260133576,14.1421242,-2.06487226,0,0
8.900,1,0.305385172,-0.000786778866,0,2.973534,53.19186,-41.04327,0.7000693,0.0949004143,0.701414943,-0.09441383,-0.0282660369,14.4496651,-2.46988821,0,0
9.000,1,0.287448168,-0.0003908934,0,2.97062826,54.65066,-41.31118,0.6990359,0.101871379,0.700441837,-0.101746656,-0.0297415163,14.7208214,-2.8899312,0,0
9.100,1,0.268536717,-0.000143385623,0,2.9676044,56.13497,-41.6213875,0.6979815,0.10866911,0.699414968,-0.1087731,-0.0306612,14.9608622,-3.314054,0,0
9.200,1,0.2489483,-8.416411E-06,0,2.96450758,57.64198,-41.973793,0.6969359,0.115097336,0.698378,-0.115329877,-0.0312276557,15.1757689,-3.732419,0,0
9.300,1,0.228964865,5.02471521E-05,0,2.96136475,59.16947,-42.3673859,0.695932448,0.120989814,0.6973735,-0.12128333,-0.0316033922,15.3719711,-4.13631058,0,0
9.400,1,0.2088485,6.3802916E-05,0,2.95818949,60.71594,-42.8003044,0.695005059,0.126212627,0.696440339,-0.126526967,-0.03189842,15.556036,-4.518248,0,0
9.500,1,0.188836515,5.51481971E-05,0,2.95498538,62.28048,-43.27008,0.6941855,0.130661979,0.69561404,-0.1309769,-0.032179065,15.7343721,-4.871985,0,0
9.600,1,0.169144571,3.944951E-05,0,2.95175338,63.86282,-43.7736053,0.693502069,0.134261444,0.6949243,-0.1345695,-0.03247923,15.9130116,-5.192418,0,0
9.700,1,0.1499664,2.43433788E-05,0,2.94848871,65.46327,-44.3073349,0.692977667,0.136958629,0.694394946,-0.137258783,-0.0328134522,16.09744,-5.4754653,0,0
9.800,1,0.1314765,1.27643452E-05,0,2.945189,67.08261,-44.86735,0.692629039,0.138722539,0.6940429,-0.139016211,-0.03318718,16.29249,-5.717939,0,0
9.900,1,0.113830745,5.322991E-06,0,2.94184971,68.72221,-45.4494667,0.692465961,0.139540628,0.693878233,-0.139829546,-0.033603467,16.5022354,-5.917443,0,0
10.000,1,0.09716752,1.37256563E-06,0,2.93846655,70.38367,-46.04933,0.6924916,0.139417246,0.6939031,-0.139702514,-0.0340633243,16.7299213,-6.07227373,0,0
10.100,1,0.08160999,-4.43933629E-07,0,2.93503523,72.0689,-46.6624069,0.6927015,0.138372019,0.6941131,-0.138653621,-0.0345674045,16.9779778,-6.181365,0,0
10.200,1,0.06726508,-9.856078E-07,0,2.93155169,73.78001,-47.2840729,0.6930848,0.136438832,0.6944974,-0.136716068,-0.0351175927,17.2479515,-6.244246,0,0
10.300,1,0.0542212427,-9.214643E-07,0,2.92801046,75.5192642,-47.9097366,0.6936251,0.133665487,0.695038557,-0.133937091,-0.0357139744,17.54059,-6.261038,0,0
10.400,1,0.04254961,-7.34896162E-07,0,2.92440724,77.28892,-48.5347824,0.6943003,0.130112231,0.695715249,-0.130376786,-0.03635604,17.85584,-6.2324605,0,0
10.500,1,0.0322993174,-4.369631E-07,0,2.920738,79.09118,-49.1547623,0.6950853,0.125851467,0.6965018,-0.126107574,-0.03704234,18.1929321,-6.15985727,0,0
10.600,1,0.0234976765,-2.67991823E-07,0,2.91699743,80.92819,-49.7653542,0.695951939,0.1209665,0.69737035,-0.12121281,-0.0377698727,18.5504417,-6.045214,0,0
10.700,1,0.0161470231,-1.47650866E-07,0,2.9131825,82.80186,-50.3625,0.696871758,0.115549676,0.6982921,-0.115785062,-0.0385351777,18.9264259,-5.891178,0,0
10.800,1,0.010221744,-1.34248836E-07,0,2.90928912,84.7140045,-50.9424,0.697816253,0.10970109,0.6992387,-0.109924592,-0.03933394,19.3187923,-5.701155,0,0
10.900,1,0.00564869866,-4.28912621E-08,0,2.90531445,86.6661758,-51.50169,0.698759139,0.103525355,0.7001835,-0.103736363,-0.040166948,19.7272968,-5.479856,0,0
11.000,1,0.00234853267,6.08054762E-08,0,2.90125513,88.65993,-52.03748,0.69967705,0.0971286744,0.7011031,-0.09732669,-0.04102717,20.1497784,-5.23184967,0,0
11.100,1,0.0002267313,6.038742E-09,0,2.89710855,90.69651,-52.5473328,0.7005501,0.09061732,0.701977968,-0.09080203,-0.04191002,20.58347,-4.96192646,0,0
11.200,1,-0.0008330965,-8.510295E-09,0,2.89287257,92.77692,-53.0293274,0.7013629,0.08409504,0.702792466,-0.08426645,-0.0428104252,21.0256672,-4.67526054,0,0
11.300,1,-0.0009648991,-2.15107061E-08,0,2.888546,94.9018555,-53.48203,0.7021046,0.07766004,0.7035356,-0.0778183043,-0.0437228233,21.4737968,-4.377284,0,0
11.400,1,-0.000317192083,-3.03062464E-08,0,2.884128,97.071785,-53.9045868,0.702768564,0.07140194,0.704201,-0.07154745,-0.044642482,21.9255,-4.07352,0,0
11.500,1,0.0009528089,-3.51812055E-08,0,2.87961745,99.28698,-54.29672,0.7033526,0.06539941,0.7047861,-0.06553267,-0.0455651432,22.3786564,-3.76940584,0,0
11.600,1,0.002686248,-1.68814032E-10,0,2.875015,101.547493,-54.6586266,0.703857839,0.0597181581,0.7052922,-0.05983986,-0.0464868136,22.8314075,-3.4700973,0,0
11.700,1,0.00472746138,-3.85695564E-08,0,2.8703208,103.853195,-54.9910622,0.7042882,0.054409232,0.705723345,-0.05452007,-0.0474025644,23.2821827,-3.1802783,0,0
11.800,1,0.00693256361,-1.14120027E-07,0,2.865535,106.203819,-55.2951469,0.7046495,0.0495082736,0.7060856,-0.04960908,-0.0483129881,23.72967,-2.90398836,0,0
11.900,1,0.009172261,-7.154826E-08,0,2.86065841,108.598976,-55.5724258,0.7049495,0.0450356379,0.7063862,-0.04512736,-0.0492152832,24.1727829,-2.64449573,0,0
12.000,1,0.0113380291,-2.65765472E-08,0,2.85569215,111.038193,-55.82469,0.705195844,0.04099713,0.706633151,-0.0410806648,-0.05010673,24.6106815,-2.40420771,0,0
12.100,1,0.01334367,4.68778749E-09,0,2.85063744,113.520912,-56.0539551,0.7053966,0.03738553,0.706834257,-0.03746173,-0.05098654,25.0426617,-2.18463922,0,0
12.200,1,0.0151275061,7.21643056E-09,0,2.84549522,116.0465,-56.2623138,0.705558956,0.03418253,0.7069971,-0.03425221,-0.05185362,25.4681911,-1.98643613,0,0
12.300,1,0.016650103,2.17758558E-08,0,2.840268,118.614319,-56.45194,0.70569,0.0313611664,0.7071283,-0.0314251035,-0.0527059473,25.8868389,-1.80945063,0,0
12.400,1,0.0178943984,1.031127E-08,0,2.83495545,121.22364,-56.62489,0.7057956,0.028888464,0.7072341,-0.02894735,-0.05354319,26.2982979,-1.65285861,0,0
12.500,1,0.018861223,-8.559321E-09,0,2.8295598,123.873734,-56.7831459,0.7058807,0.02672788,0.7073194,-0.0267823469,-0.0543655269,26.702322,-1.51530874,0,0
12.600,1,0.0195654929,-7.140956E-09,0,2.82408285,126.563843,-56.9285278,0.7059496,0.02484172,0.7073884,-0.0248923413,-0.0551726744,27.098732,-1.39507949,0,0
12.700,1,0.020032391,9.588142E-09,0,2.81852627,129.293152,-57.0626678,0.7060057,0.02319294,0.7074446,-0.0232402179,-0.0559637062,27.487402,-1.29023778,0,0
12.800,1,0.0202928986,-5.267398E-09,0,2.81289077,132.060715,-57.18702,0.706051767,0.021746764,0.707490742,-0.0217910837,-0.0567387268,27.8682537,-1.19877923,0,0
12.900,1,0.0203813538,3.10088355E-09,0,2.807179,134.866241,-57.302803,0.706089854,0.0204716027,0.707528949,-0.02051333,-0.05749812,28.2412338,-1.11874485,0,0
13.000,1,0.0203313157,-8.30716651E-09,0,2.80139136,137.7087,-57.41108,0.7061218,0.0193396714,0.7075609,-0.01937908,-0.058241576,28.60632,-1.04830968,0,0
13.100,1,0.0201744139,2.67597189E-09,0,2.7955308,140.58725,-57.512722,0.706148744,0.0183271654,0.707587957,-0.0183645226,-0.0589693077,28.963501,-0.9858388,0,0
13.200,1,0.01993869,1.70230552E-09,0,2.78959823,143.501144,-57.6084557,0.7061719,0.0174142513,0.707611144,-0.017449744,-0.0596806556,29.31279,-0.9299187,0,0
13.300,1,0.0196477082,-5.79713255E-09,0,2.78359532,146.44957,-57.69888,0.7061918,0.016584618,0.7076312,-0.0166184176,-0.0603756122,29.6542015,-0.8793642,0,0
13.400,1,0.0193211362,2.12664025E-10,0,2.77752328,149.431717,-57.78447,0.706209242,0.0158251729,0.7076486,-0.0158574264,-0.06105496,29.9877663,-0.8332085,0,0
13.500,1,0.0189738981,4.17924417E-10,0,2.77138472,152.446838,-57.8656349,0.7062246,0.0151255559,0.707663953,-0.0151563836,-0.06171834,30.3135185,-0.79068315,0,0
13.600,1,0.0186175816,6.313962E-09,0,2.76518035,155.494156,-57.9427,0.7062382,0.0144774932,0.7076776,-0.0145070059,-0.06236576,30.6314983,-0.751186252,0,0
13.700,1,0.018260397,1.94721972E-09,0,2.75891232,158.572876,-58.01595,0.70625025,0.0138745541,0.7076897,-0.0139028337,-0.0629973561,30.9417572,-0.714258432,0,0
13.800,1,0.01790803,-1.58014646E-09,0,2.7525816,161.682251,-58.0856247,0.7062611,0.0133115947,0.7077006,-0.013338726,-0.06361335,31.2443562,-0.679546952,0,0
13.900,1,0.0175645091,3.97946831E-09,0,2.74618983,164.8215,-58.1519279,0.7062708,0.0127845723,0.7077104,-0.0128106344,-0.0642144158,31.5393486,-0.646789134,0,0
14.000,1,0.01723217,5.85941873E-09,0,2.739739,167.989883,-58.2150459,0.7062796,0.0122901294,0.707719147,-0.0123151857,-0.0648000762,31.826807,-0.615781069,0,0
14.100,1,0.0169124566,6.103872E-09,0,2.73323,171.186615,-58.27514,0.706287563,0.0118255652,0.7077271,-0.0118496725,-0.0653706044,32.10681,-0.58636874,0,0
14.200,1,0.016605664,6.91100066E-09,0,2.726665,174.411,-58.3323669,0.7062947,0.0113885906,0.7077342,-0.0114118075,-0.06592484,32.37944,-0.5584335,0,0
14.300,1,0.0163120478,-1.03667714E-08,0,2.72004557,177.662277,-58.38687,0.7063013,0.0109771686,0.7077408,-0.0109995315,-0.0664640442,32.6447868,-0.531875432,0,0
14.400,1,0.0160314422,-1.0938999E-08,0,2.71337247,180.939743,-58.4387856,0.706307232,0.01058952,0.7077467,-0.0106110917,-0.06698892,32.9029465,-0.506611645,0,0
14.500,1,0.0157634467,-1.64538E-08,0,2.70664787,184.242661,-58.48823,0.706312656,0.0102240806,0.707752049,-0.0102449013,-0.06749946,33.154026,-0.482571483,0,0
14.600,1,0.0155076347,-1.19746506E-08,0,2.699873,187.570328,-58.53533,0.706317544,0.009879398,0.707756937,-0.009899521,-0.06799576,33.3981323,-0.45969063,0,0
14.700,1,0.0152634066,-9.61865E-09,0,2.69304919,190.922073,-58.5802,0.706321836,0.009554189,0.7077616,-0.009573655,-0.06847942,33.6353645,-0.437912822,0,0
14.800,1,0.0150301382,6.973278E-09,0,2.68617773,194.297211,-58.6229439,0.7063259,0.009247202,0.7077657,-0.009266058,-0.0689502954,33.8658524,-0.417185128,0,0
14.900,1,0.01480733,8.376093E-09,0,2.6792593,197.695053,-58.66367,0.7063297,0.008957286,0.7077694,-0.008975551,-0.0694073662,34.0897179,-0.397453,0,0
15.000,1,0.014594811,1.37938212E-08,0,2.67229629,201.114944,-58.7024651,0.7063331,0.008683424,0.7077728,-0.00870113447,-0.06985101,34.3070679,-0.378669024,0,0
15.100,1,0.0143916747,1.179974E-08,0,2.66528964,204.556259,-58.73943,0.70633626,0.00842463,0.707776,-0.008441813,-0.07028155,34.5180359,-0.3607895,0,0
15.200,1,0.0141976494,1.08477769E-08,0,2.65824,208.018356,-58.77465,0.7063391,0.008179984,0.7077789,-0.008196667,-0.07069911,34.72276,-0.343770176,0,0
15.300,1,0.0140123433,1.07469056E-08,0,2.65115023,211.50061,-58.80821,0.7063418,0.0079486575,0.7077815,-0.007964868,-0.07110384,34.9213638,-0.3275708,0,0
